"date","type","registration","operator","fatalities","location","damage"
"12 Mar 2024","Ilyushin Il-76MD","RF-76551","Russian Air Force","16","near Ivanovo Severny Air Base, Ivanovo Oblast","w/o"
"14 Mar 2024","Boeing 737-8H4 (WL)","N8520Q","Southwest Airlines","0","Como, TN","non"
"17 Mar 2024","Let L-410UVP","9S-GPB","Cetraca Aviation Service","0","Butembo Airport (FZBM)","sub"
"19 Mar 2024","Antonov An-26","AVIONS-401","South Sudanese Air Force","0","Yida Airstrip","w/o"
"20 Mar 2024","Boeing 787-9 Dreamliner","JA891A","All Nippon Airways - ANA","0","55 km S of Tokyo/Narita International Airport (NRT/RJAA)","sub"
"23 Mar 2024","Boeing 767-338ER (BDSF)","N372CM","DHL Aviation, opb ABX Air","0","Panama City-Tocumen International Airport (PTY)","sub"
"27 Mar 2024","Boeing 757-232 (WL)","N6705Y","Delta Air Lines","0","near Lakeland, GA","non"
"30 Mar 2024","de Havilland Canada DHC-8-314 (F) Dash 8","C-GAIW","Air Inuit Cargo","0","Kangiqsujuaq Airport (YWB/CYKG)","sub"
"31 Mar 2024","Boeing 727-2Q9 (F)","5Y-IRE","Safe Air Company (SAC)","0","Malakal Airport (MAK/HJMK)","w/o"
"1 Apr 2024","Boeing 787-8 Dreamliner","JA843J","Japan Airlines","0","150 km SE of Tokyo/Narita International Airport (NRT/RJAA)","non"
"3 Apr 2024","Boeing 737-7CT WL)","N567WN","Southwest Airlines","0","over Gulf of Mexico","non"
"3 Apr 2024","Boeing 717-2BD","N899AT","Delta Air Lines","0","near Cecil, NC","non"
"7 Apr 2024","Cessna 208 Caravan I","N90JF","ISR Aviation LLC, opb Connecticut Parachutists Inc","0","Ellington Airport (7B9), Ellington, CT","sub"
"7 Apr 2024","Boeing 737 MAX 8","C-FSDQ","Air Canada","0","Toronto-Pearson International Airport, ON (YYZ/CYYZ)","unk"
"9 Apr 2024","Beechcraft B300 King Air 350","N243MH","Allen Contracting Inc","0","Wiley Post Airport (PWA/KPWA), Oklahoma City, OK","sub"
"12 Apr 2024","Cessna 525 Citation M2","N22S","HS Flugcharter GmbH","0","Montreal-St Hubert Airport, QC (YHU/CYHU)","sub"
"13 Apr 2024","Bombardier DHC-8-402Q Dash 8","C-GJWE","WestJet Encore","0","Calgary International Airport, AB (YYC/CYYC)","sub"
"16 Apr 2024","Boeing 787-9 Dreamliner","ZK-NZC","Air New Zealand","0","SE of Bali","non"
"22 Apr 2024","Cessna 500 Citation I","XB-CSI","DGA Grupo de ConsultorÃ­a Legal","0","Monterrey-Del Norte International Airport (NTR/MMAN), Apocada, NL","sub"
"22 Apr 2024","Short C-23B+ Sherpa","N163Z","US Forest Service (USFS)","0","Hamilton-Ravalli County Airport (HRF), Hamilton, MT","sub"
"23 Apr 2024","Learjet 75","PP-DYB","Cimed & Co SA","0","Erechim Airport (ERM), RS","sub"
"23 Apr 2024","Douglas C-54D-DC (DC-4)","N3054V","Alaska Air Fuel","2","near Fairbanks International Airport (FAI), Fairbanks, AK","w/o"
"25 Apr 2024","Cessna 208 Caravan I","F-GUTS","C2C Aviation","0","near Gap-Tallard Airfield (GAT)","sub"
"26 Apr 2024","Boeing 757-232 (WL)","N6703D","Delta Air Lines","0","near Hogansville, GA","non"
"3 May 2024","Antonov An-2R","UP-A0124","Navigator","0","near Arkalyk Airport (AYK/UAUR)","sub"
"3 May 2024","Embraer ERJ-145LR","N942JX","JSX","0","Houston-William P. Hobby Airport (HOU/KHOU), Houston, TX","sub"
"3 May 2024","Airbus A330-243","A4O-DA","Qatar Airways, lsf Oman Air","0","over Ethiopia","min"
"4 May 2024","Boeing 737-838 (WL)","VH-VYK","Qantas","0","19.4 NM SE of Brisbane International Airport, QLD (BNE)","non"
"5 May 2024","Fokker 50","D6-AIB","R'Komor","0","MohÃ©li Bandar Es Salam Airport (NWA)","sub"
"5 May 2024","Boeing 737-3Y0 (BDSF)","9S-AKK","Serve Air Cargo","0","Kinshasa-N'Djili Airport (FIH)","sub"
"9 May 2024","Boeing 737-38J","6V-AJE","Transair, opf Air Senegal","0","Dakar-Blaise Diagne International Airport (DSS)","sub"
"9 May 2024","Boeing 737-85R (WL)","9H-TJF","Corendon Airlines","0","Gazipasa-Alanya Airport (GZP/LTFG)","sub"
"9 May 2024","Beechcraft B200 Super King Air","YV3296","Latino Americana de la ConstrucciÃ³n","8","Lake Maracaibo, Zulia","w/o"
"19 May 2024","Airbus A320-214","RA-73832","Ural Airlines","0","Ekaterinburg-Koltsovo Airport (SVX/USSS)","non"
